ID,Event,gameTime,Tracking Start Date,homeTeam,awayTeam,City
103240207,Mets at Nationals,2018-4-5-13-05,25-Mar,Nationals,Mets,"Washington, D.C."
103240209,Mets at Nationals,2018-4-7-13-05,25-Mar,Nationals,Mets,"Washington, D.C."
103240211,Mets at Nationals,2018-4-8-20-08,25-Mar,Nationals,Mets,"Washington, D.C."
103240213,Braves at Nationals,2018-4-9-19-05,25-Mar,Nationals,Braves,"Washington, D.C."
103240215,Braves at Nationals,2018-4-10-19-05,25-Mar,Nationals,Braves,"Washington, D.C."
103240217,Braves at Nationals,2018-4-11-13-05,25-Mar,Nationals,Braves,"Washington, D.C."
103240225,Rockies at Nationals,2018-4-12-19-05,25-Mar,Nationals,Rockies,"Washington, D.C."
103240228,Rockies at Nationals,2018-4-13-19-05,25-Mar,Nationals,Rockies,"Washington, D.C."
103240230,Rockies at Nationals,2018-4-14-13-05,25-Mar,Nationals,Rockies,"Washington, D.C."
103240232,Rockies at Nationals,2018-4-15-13-05,25-Mar,Nationals,Rockies,"Washington, D.C."
